[Ep 142] Threat: 0.00, Dist: 0.00, Survive: 4.50, HP: -5.00, End: -1.70, Final: -1.70, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 143] Threat: 0.00, Dist: 0.00, Survive: 8.97, HP: -5.00, End: -1.40, Final: 3.07, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 144] Threat: 0.00, Dist: 0.00, Survive: 5.37, HP: -5.00, End: -1.64, Final: -0.77, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 145] Threat: 0.00, Dist: 0.00, Survive: 2.52, HP: -5.00, End: -1.83, Final: -3.81, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 146] Threat: 0.00, Dist: 0.00, Survive: 5.48, HP: -5.00, End: -1.63, Final: -0.65, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 147] Threat: 0.00, Dist: 0.00, Survive: 5.91, HP: -5.00, End: -1.61, Final: -0.20, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 148] Threat: 0.00, Dist: 0.00, Survive: 6.82, HP: -5.00, End: -1.55, Final: 0.77, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 149] Threat: 0.00, Dist: 0.00, Survive: 8.67, HP: -5.00, End: -1.42, Final: 2.75, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 150] Threat: 0.00, Dist: 0.00, Survive: 4.23, HP: -5.00, End: -1.72, Final: -1.99, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 151] Threat: 0.00, Dist: 0.00, Survive: 6.54, HP: -5.00, End: -1.56, Final: 0.48, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 152] Threat: 0.00, Dist: 0.00, Survive: 5.88, HP: -5.00, End: -1.61, Final: -0.23, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 153] Threat: 0.00, Dist: 0.00, Survive: 5.50, HP: -5.00, End: -1.63, Final: -0.63, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 154] Threat: 0.00, Dist: 0.00, Survive: 5.75, HP: -5.00, End: -1.62, Final: -0.37, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 155] Threat: 0.00, Dist: 0.00, Survive: 4.33, HP: -5.00, End: -1.71, Final: -1.88, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 156] Threat: 0.00, Dist: 0.00, Survive: 5.66, HP: -5.00, End: -1.62, Final: -0.46, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 157] Threat: 0.00, Dist: 0.00, Survive: 7.11, HP: -5.00, End: -1.53, Final: 1.08, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 158] Threat: 0.00, Dist: 0.00, Survive: 3.83, HP: -5.00, End: -1.74, Final: -2.41, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 159] Threat: 0.00, Dist: 0.00, Survive: 5.38, HP: -5.00, End: -1.64, Final: -0.76, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 160] Threat: 0.00, Dist: 0.00, Survive: 5.81, HP: -5.00, End: -1.61, Final: -0.30, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
