[Ep 9442] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9443] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9444] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9445] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9446] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9447] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -2.00, End: 2.00, Final: 15.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9448] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -4.00, End: 2.00, Final: 13.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9449] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9450] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9451] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9452] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9453] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9454] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9455] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9456] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -2.00, End: 2.00, Final: 15.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9457] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9458] Threat: 0.00, Dist: 0.00, Survive: 7.59, HP: -5.00, End: -0.99, Final: 2.10, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9459] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9460] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9461] Threat: 0.00, Dist: 0.00, Survive: 4.42, HP: -5.00, End: -1.41, Final: -1.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9462] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9463] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
