[Ep 77] Threat: -7.74, Dist: -5.62, Survive: 3.09, HP: -5.00, End: -1.59, Final: -16.37, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 78] Threat: -4.29, Dist: -5.79, Survive: 3.50, HP: -5.00, End: -1.53, Final: -12.61, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 79] Threat: -8.36, Dist: -6.82, Survive: 3.38, HP: -5.00, End: -1.55, Final: -17.85, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 80] Threat: -4.62, Dist: -5.70, Survive: 1.52, HP: -5.00, End: -1.80, Final: -15.09, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 81] Threat: -2.96, Dist: -4.24, Survive: 5.00, HP: -5.00, End: -1.33, Final: -8.03, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 82] Threat: -3.51, Dist: -5.18, Survive: 8.67, HP: -5.00, End: -0.84, Final: -5.37, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 83] Threat: -4.65, Dist: -4.23, Survive: 4.31, HP: -5.00, End: -1.43, Final: -10.50, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 84] Threat: -8.35, Dist: -7.47, Survive: 2.34, HP: -5.00, End: -1.69, Final: -19.67, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 85] Threat: -2.62, Dist: -3.95, Survive: 2.90, HP: -5.00, End: -1.61, Final: -9.79, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 86] Threat: -3.94, Dist: -3.46, Survive: 8.09, HP: -5.00, End: -0.92, Final: -4.73, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 87] Threat: -3.59, Dist: -7.60, Survive: 2.75, HP: -5.00, End: -1.63, Final: -14.57, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 88] Threat: -4.78, Dist: -2.95, Survive: 3.58, HP: -5.00, End: -1.52, Final: -10.17, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 89] Threat: -5.68, Dist: -6.46, Survive: 1.99, HP: -5.00, End: -1.73, Final: -16.37, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 90] Threat: -6.48, Dist: -5.50, Survive: 3.00, HP: -5.00, End: -1.60, Final: -15.08, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 91] Threat: -5.61, Dist: -6.20, Survive: 3.75, HP: -5.00, End: -1.50, Final: -14.06, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
